code,fund_type,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
005977,hh,中信保诚至兴混合A,2021-11-12,2.9806,2.9806,0.76,4.28,19.51,7.85,62.16,103.18,186.87,196.14,59.94,198.06,0.15%,http://fund.eastmoney.com/005977.html
003017,gp,广发中证军工ETF联接A,2021-11-12,1.3984,1.3984,3.5,7.61,19.5,7.99,42.23,38.91,93.42,113.95,13.01,39.84,0.12%,http://fund.eastmoney.com/003017.html
000462,hh,农银主题轮动混合,2021-11-12,3.5399,3.5399,0.75,4.73,19.5,13.57,62.48,58.02,196.65,324.65,45.42,253.99,0.15%,http://fund.eastmoney.com/000462.html
005693,gp,广发中证军工ETF联接C,2021-11-12,1.3933,1.3933,3.5,7.61,19.47,7.94,42.09,38.62,92.6,112.81,12.81,94.92,0.00%,http://fund.eastmoney.com/005693.html
005978,hh,中信保诚至兴混合C,2021-11-12,2.8973,2.8973,0.76,4.26,19.43,7.64,61.51,101.52,182.25,188.72,58.81,189.73,0.00%,http://fund.eastmoney.com/005978.html
000603,hh,易方达创新驱动灵活配置混合,2021-11-12,2.635,2.635,1.66,5.11,19.39,11.94,72.22,74.39,193.43,265.46,57.31,163.5,0.15%,http://fund.eastmoney.com/000603.html
163115,gp,申万菱信中证军工指数(LOF),2021-11-12,1.4005,2.2192,3.46,7.56,19.38,8.6,43.71,40.99,103.32,122.76,13.93,99.19,0.10%,http://fund.eastmoney.com/163115.html
004139,hh,中邮军民融合灵活配置混合,2021-11-12,2.4716,2.4716,3.38,6.69,19.37,11.25,69.46,70.66,182.4,203.41,36.64,147.16,0.15%,http://fund.eastmoney.com/004139.html
002772,hh,光大产业新动力混合,2021-11-12,1.835,1.95,-1.13,4.68,19.31,3.44,21.93,26.36,82.93,107.01,24.49,98.11,0.15%,http://fund.eastmoney.com/002772.html
000654,hh,华商新锐产业混合,2021-11-12,2.183,2.203,1.25,3.66,19.29,3.8,42.21,43.34,88.03,136.26,28.56,122.25,0.15%,http://fund.eastmoney.com/000654.html
