fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
gp,011685,创金合信先进装备股票A,2021-11-12,1.2178,1.2178,2.33,5.19,5.25,4.97,23.13,,,,,21.78,0.15%,http://fund.eastmoney.com/011685.html
gp,011686,创金合信先进装备股票C,2021-11-12,1.2140,1.2140,2.33,5.18,5.20,4.84,22.82,,,,,21.40,0.00%,http://fund.eastmoney.com/011686.html
gp,001956,国联安科技动力,2021-11-12,2.7110,2.7110,-0.24,5.14,20.04,5.46,43.01,45.31,132.88,268.24,33.08,171.10,0.15%,http://fund.eastmoney.com/001956.html
gp,005628,汇安趋势动力股票A,2021-11-12,1.8993,1.8993,0.27,5.14,16.88,10,49.74,52.41,79.74,95.22,36.74,89.93,0.15%,http://fund.eastmoney.com/005628.html
gp,005629,汇安趋势动力股票C,2021-11-12,1.8607,1.8607,0.26,5.13,16.83,9.87,49.37,51.66,77.96,92.20,36.16,86.07,0.00%,http://fund.eastmoney.com/005629.html
gp,001877,宝盈国家安全沪港深股票A,2021-11-12,1.7997,1.7997,1.87,5.09,12.45,7.57,46.08,67.57,114.25,147.21,59.83,79.97,0.15%,http://fund.eastmoney.com/001877.html
gp,013613,宝盈国家安全沪港深股票C,2021-11-12,1.7994,1.7994,1.86,5.08,12.39,,,,,,,4.45,0.00%,http://fund.eastmoney.com/013613.html
gp,001097,华泰柏瑞积极优选股票,2021-11-12,1.1650,1.1650,2.19,5.05,16.62,5.72,37.06,38.20,81.75,120.64,26.08,16.50,0.15%,http://fund.eastmoney.com/001097.html
gp,000991,工银战略转型股票A,2021-11-12,3.6360,3.6360,0.06,5.03,1.59,-1.68,10.05,23.55,171.95,251.30,18.28,263.60,0.15%,http://fund.eastmoney.com/000991.html
gp,004856,广发中证全指建筑材料指数A,2021-11-12,1.3767,1.3767,-0.66,5.01,-5,-8.79,-10.70,-6.14,42.80,75.62,-0.19,37.67,0.10%,http://fund.eastmoney.com/004856.html
gp,011473,工银战略转型股票C,2021-11-12,3.6230,3.6230,0.03,5.01,1.54,-1.82,9.75,,,,,12.69,0.00%,http://fund.eastmoney.com/011473.html
gp,004857,广发中证全指建筑材料指数C,2021-11-12,1.3809,1.3809,-0.66,5,-5.01,-8.84,-10.79,-6.34,42.26,75.44,-0.36,38.09,0.00%,http://fund.eastmoney.com/004857.html
gp,013020,国泰中证全指建材ETF联接C,2021-11-12,0.8830,0.8830,-0.61,4.96,-4.49,-11.66,,,,,,-11.70,0.00%,http://fund.eastmoney.com/013020.html
gp,013019,国泰中证全指建料ETF联接A,2021-11-12,0.8837,0.8837,-0.60,4.96,-4.46,-11.59,,,,,,-11.63,0.10%,http://fund.eastmoney.com/013019.html
gp,000309,大摩品质生活精选股票,2021-11-12,4.2410,4.2410,0.74,4.95,9.56,4.20,27.74,31.26,123.56,180.49,28.40,324.10,0.15%,http://fund.eastmoney.com/000309.html
gp,011506,建信高端装备股票A,2021-11-12,1.3292,1.3292,1.59,4.94,20.68,14.67,32.63,,,,,32.92,0.15%,http://fund.eastmoney.com/011506.html
gp,011507,建信高端装备股票C,2021-11-12,1.3264,1.3264,1.59,4.94,20.65,14.55,32.36,,,,,32.64,0.00%,http://fund.eastmoney.com/011507.html
gp,010434,红土创新医疗保健股票,2021-11-12,0.9094,0.9094,0.29,4.88,-2.34,-5.27,-5.65,-8.60,,,-7.77,-9.06,0.15%,http://fund.eastmoney.com/010434.html
gp,008009,华商高端装备制造股票,2021-11-12,2.9977,2.9977,1.86,4.86,17.61,9.68,71.55,77.25,,,56.78,199.77,0.15%,http://fund.eastmoney.com/008009.html
gp,001749,招商中国机遇股票,2021-11-12,2.6830,2.6830,0.68,4.85,13.69,6.85,31.65,38.80,160.23,232.88,21.62,168.30,0.15%,http://fund.eastmoney.com/001749.html
gp,011077,汇丰晋信创新先锋,2021-11-12,1.1684,1.1684,-0.26,4.80,12.22,3.57,17.09,,,,,16.84,0.15%,http://fund.eastmoney.com/011077.html
gp,010709,安信医药健康股票A,2021-11-12,1.2657,1.2657,0.68,4.79,3.63,9.27,14.76,,,,,26.57,0.15%,http://fund.eastmoney.com/010709.html
gp,001643,汇丰晋信智造先锋股票A,2021-11-12,4.2617,4.2617,1.20,4.78,12.33,1.69,36.01,79.23,304.60,419.09,40.97,326.04,0.15%,http://fund.eastmoney.com/001643.html
gp,001644,汇丰晋信智造先锋股票C,2021-11-12,4.1374,4.1374,1.20,4.77,12.28,1.56,35.67,78.34,300.64,411.74,40.36,313.62,0.00%,http://fund.eastmoney.com/001644.html
gp,010710,安信医药健康股票C,2021-11-12,1.2604,1.2604,0.68,4.77,3.58,9.13,14.47,,,,,26.04,0.00%,http://fund.eastmoney.com/010710.html
gp,010003,景顺长城电子信息产业股票A,2021-11-12,1.4019,1.4019,-0.08,4.74,17.25,-0.97,39.15,36.94,,,26.72,40.19,0.15%,http://fund.eastmoney.com/010003.html
gp,010004,景顺长城电子信息产业股票C,2021-11-12,1.3953,1.3953,-0.08,4.73,17.21,-1.07,38.86,36.39,,,26.28,39.53,0.00%,http://fund.eastmoney.com/010004.html
gp,007674,工银产业升级股票A,2021-11-12,1.5577,1.5577,-0.41,4.63,0.89,2.18,17.57,27.67,,,17.39,55.77,0.15%,http://fund.eastmoney.com/007674.html
gp,167507,安信深圳科技指数(LOF)C,2021-11-12,1.4187,1.4187,1.16,4.62,5.94,-6.26,8.40,-1.55,,,-1.16,41.87,0.00%,http://fund.eastmoney.com/167507.html
gp,167506,安信深圳科技指数(LOF)A,2021-11-12,1.4256,1.4256,1.16,4.62,5.96,-6.20,8.53,-1.30,,,-0.95,42.56,0.12%,http://fund.eastmoney.com/167506.html
gp,007675,工银产业升级股票C,2021-11-12,1.5344,1.5344,-0.41,4.61,0.83,1.97,17.10,26.65,,,16.59,53.44,0.00%,http://fund.eastmoney.com/007675.html
gp,000913,农银医疗保健股票,2021-11-12,2.7733,2.7733,0.66,4.59,-7.48,-11.75,-11.07,2.78,73.18,183.95,-0.68,177.33,0.15%,http://fund.eastmoney.com/000913.html
gp,004450,嘉实前沿科技沪港深股票,2021-11-12,2.4124,2.4124,0.14,4.59,10.58,2.18,14.88,13.31,82.94,144.07,3.60,141.22,0.15%,http://fund.eastmoney.com/004450.html
gp,001008,工银国企改革股票,2021-11-12,2.6530,2.6530,0.11,4.57,8.91,3.47,17.86,34.67,120.17,179.56,15.75,165.30,0.15%,http://fund.eastmoney.com/001008.html
gp,001043,工银美丽城镇股票A,2021-11-12,2.8470,2.8470,0.25,4.55,3.98,1.24,6.15,26.25,115.68,198.74,14.43,184.70,0.15%,http://fund.eastmoney.com/001043.html
gp,002900,南方中证500信息技术联接A,2021-11-12,1.3430,1.3430,1.11,4.53,12.51,3.03,25.43,9.78,39.14,90.96,15.46,34.30,0.12%,http://fund.eastmoney.com/002900.html
gp,011478,工银美丽城镇股票C,2021-11-12,2.8380,2.8380,0.25,4.53,3.92,1.14,5.90,,,,,-0.07,0.00%,http://fund.eastmoney.com/011478.html
gp,004347,南方中证500信息技术联接C,2021-11-12,1.3213,1.3213,1.10,4.52,12.47,2.92,25.18,9.33,38.04,88.70,15.06,41.56,0.00%,http://fund.eastmoney.com/004347.html
gp,005313,万家中证1000指数增强A,2021-11-12,1.2992,1.9351,1.25,4.48,5.17,2.85,24.98,29.07,80.12,121.11,25.95,123.96,0.15%,http://fund.eastmoney.com/005313.html
gp,001070,建信信息产业股票,2021-11-12,3.4410,3.4410,0.20,4.46,9.52,2.44,34.52,50.07,143.70,257.69,34.15,244.10,0.15%,http://fund.eastmoney.com/001070.html
