,fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
753,gp,003853,金鹰信息产业股票A,2021-06-25,3.8312,3.9977,0.76,2.86,16.62,41.33,21.0,79.93,202.88,296.83,19.23,307.52,0.12%,http://fund.eastmoney.com/003853.html
1648,hh,004391,平安转型创新混合C,2021-06-25,2.5456,2.6306,0.42,5.67,19.06,41.26,23.21,62.17,146.83,165.19,21.46,175.95,0.00%,http://fund.eastmoney.com/004391.html
759,gp,005885,金鹰信息产业股票C,2021-06-25,3.827,3.9755,0.76,2.85,16.58,41.19,20.76,79.21,200.93,292.23,19.0,288.19,0.00%,http://fund.eastmoney.com/005885.html
2665,hh,000126,招商安润混合,2021-06-25,3.5393,3.8833,1.24,3.26,15.05,40.99,32.15,89.39,225.09,243.96,29.67,375.69,0.15%,http://fund.eastmoney.com/000126.html
161,gp,007300,国联安中证半导体ETF联接A,2021-06-25,2.4374,2.4374,1.47,4.25,21.24,40.96,21.69,20.98,,,18.94,143.72,0.08%,http://fund.eastmoney.com/007300.html
160,gp,007301,国联安中证半导体ETF联接C,2021-06-25,2.4195,2.4195,1.47,4.25,21.22,40.88,21.54,20.68,,,18.81,141.93,0.00%,http://fund.eastmoney.com/007301.html
1179,gp,001790,国泰智能汽车股票A,2021-06-25,2.686,2.686,1.13,2.13,16.23,40.78,18.8,93.94,252.49,173.25,16.88,168.6,0.15%,http://fund.eastmoney.com/001790.html
1630,hh,700003,平安策略先锋混合,2021-06-25,4.556,4.656,0.55,5.88,18.4,40.7,23.54,63.88,170.39,192.05,22.05,398.51,0.15%,http://fund.eastmoney.com/700003.html
597,gp,004784,招商稳健优选股票,2021-06-25,2.7735,2.7735,1.12,3.07,14.5,40.62,29.49,76.26,188.58,221.34,27.25,177.35,0.15%,http://fund.eastmoney.com/004784.html
1181,gp,011323,国泰智能汽车股票C,2021-06-25,2.681,2.681,1.13,2.13,16.21,40.59,,,,,,5.59,0.00%,http://fund.eastmoney.com/011323.html
2173,hh,210003,金鹰行业优势混合,2021-06-25,2.9001,3.2901,0.9,3.88,18.63,40.26,27.67,70.9,161.98,172.8,27.04,295.42,0.15%,http://fund.eastmoney.com/210003.html
2085,hh,002919,东吴智慧医疗量化混合A,2021-06-25,1.7511,1.7511,2.82,4.06,6.03,40.21,33.85,62.05,117.26,92.64,32.1,75.11,0.15%,http://fund.eastmoney.com/002919.html
63,gp,005037,银华新能源新材料A,2021-06-25,1.8934,1.8934,1.71,5.21,14.58,39.86,22.88,96.57,157.01,155.11,21.6,89.32,0.15%,http://fund.eastmoney.com/005037.html
2134,hh,005299,万家成长优选混合A,2021-06-25,2.9895,2.9895,1.08,3.96,13.38,39.78,29.77,76.69,212.06,238.98,28.05,198.95,0.15%,http://fund.eastmoney.com/005299.html
64,gp,005038,银华新能源新材料C,2021-06-25,1.8625,1.8625,1.71,5.2,14.54,39.71,22.64,95.78,154.93,151.86,21.37,86.23,0.00%,http://fund.eastmoney.com/005038.html
